MET (s),Altitude (m),Apoapsis (m),Periapsis (m),Velocity (m/s),G-Force (g),Thrust (N),Mass (kg),Liquid Fuel,Oxidizer,Situation
81.21999998699903,17408.66524734022,31859.593522131676,-589665.5134706285,563.613538089765,2.502882719039917,713573.125,26543.216796875,1273.9696044921875,1557.0738525390625,flying
82.23999998683576,17928.353581569856,33187.301628728164,-589025.9914423333,580.5143685135322,2.5429046154022217,714186.0,26322.958984375,1254.1463623046875,1532.845458984375,flying
83.25999998667248,18461.019028496812,34572.143334091175,-588345.1515230639,597.8497557250832,2.580078125,714752.1875,26102.69921875,1234.322998046875,1508.616943359375,flying
84.27999998650921,19006.891014088527,36015.25546082156,-587621.3253664153,615.5968469548147,2.615565538406372,715272.9375,25882.44140625,1214.499755859375,1484.3885498046875,flying
85.27999998634914,19555.089453503722,37488.94703615038,-586867.8308665488,633.3940668094131,2.6505348682403564,715741.125,25666.501953125,1195.065185546875,1460.6351318359375,flying
86.29999998618587,20127.755093436455,39054.884795708815,-586052.1790621142,651.955282492359,2.686391592025757,716178.0625,25446.2421875,1175.241943359375,1436.4066162109375,flying
87.279999986029,20691.008494413574,40621.846485308604,-585221.4198862902,670.1786133486829,2.721038818359375,716562.5,25234.62109375,1156.196044921875,1413.1282958984375,flying
88.31999998586252,21302.947092633927,42354.85740249907,-584286.6966430802,689.9382698812997,2.758100748062134,716936.8125,25010.04296875,1135.9840087890625,1388.4248046875,flying
89.33999998569925,21917.540282813134,44128.14696172718,-583314.0705447765,709.7420544460367,2.794811725616455,717273.5625,24789.78515625,1116.1607666015625,1364.1964111328125,flying
90.33999998553918,22534.16243451764,45941.00595885597,-582304.0120181004,729.568092756575,2.831066608428955,717574.8125,24573.845703125,1096.7261962890625,1340.4429931640625,flying
91.35999998537591,23177.697257893975,47869.76847535651,-581213.2005126374,750.2112632335754,2.8682162761688232,717853.25,24353.5859375,1076.90283203125,1316.2144775390625,flying
92.37999998521263,23836.178365029977,49883.036993897986,-580058.188350364,771.2801371407951,2.905459403991699,718103.6875,24133.328125,1057.07958984375,1291.986083984375,flying
93.37999998505256,24496.47303100687,51943.05864063441,-578860.4347426438,792.3493926543238,2.9420011043548584,718323.4375,23917.388671875,1037.64501953125,1268.232666015625,flying
94.37999998489249,25171.558601370314,54092.85530679056,-577594.8153929127,813.8278786558052,2.9785470962524414,718519.5,23701.44921875,1018.2103881835938,1244.479248046875,flying
95.39999998472922,25875.61647284974,56383.03739794786,-576230.6112970106,836.1574642654457,3.0158753395080566,718697.3125,23481.189453125,998.3870849609375,1220.250732421875,flying
96.39999998456915,26581.243923891452,58729.38586996426,-574817.8300374458,858.4666755928091,3.0530757904052734,718852.875,23265.25,978.9525146484375,1196.4974365234375,flying
97.41999998440588,27316.88691921509,61231.84005279199,-573296.212371389,881.6509444485399,3.09123158454895,718995.6875,23044.990234375,959.1292114257812,1172.2689208984375,flying
98.4199999842458,28053.920279373415,63798.551416462054,-571721.6212373328,904.8028330808506,3.128843307495117,719121.125,22829.05078125,939.6946411132812,1148.5155029296875,flying
99.43999998408253,28822.057011638186,66539.11839201278,-570027.0205972403,928.8494951923591,3.167335033416748,719234.625,22608.79296875,919.871337890625,1124.287109375,flying
100.43999998392246,29591.401390181156,69353.34403136594,-568274.7734217736,952.8484705184811,3.205160140991211,719332.5625,22392.8515625,900.436767578125,1100.53369140625,flying
101.45999998375919,30392.962113612914,72361.89338031178,-566390.4306565218,977.7600198771942,3.2438104152679443,719419.875,22172.59375,880.6134643554688,1076.3052978515625,flying
102.45999998359912,31195.534666680265,75454.81275990384,-564442.8894233459,1002.6066137397564,3.2817084789276123,719494.125,21956.65234375,861.1788940429688,1052.5518798828125,flying
103.47999998343585,32031.434141708538,78760.4839349885,-562344.2632342479,1028.3755758414106,3.3201935291290283,719559.875,21736.39453125,841.3555908203125,1028.3233642578125,flying
104.43999998328218,32834.24153610063,82014.04033019382,-560254.4057966258,1053.014832104977,3.3564469814300537,719614.0,21529.091796875,822.6984252929688,1005.5201416015625,flying
105.4999999831125,33738.891497629345,85771.40037550486,-557804.4077236031,1080.6512520882989,3.396796941757202,719667.0625,21300.1953125,802.0977172851562,980.341552734375,flying
106.51999998294923,34627.505625315476,89555.3707639972,-555291.6635726625,1107.6686325985584,3.436126470565796,719712.4375,21079.9375,782.2744750976562,956.1130981445312,flying
107.53999998278596,35533.87135032355,93509.2336391731,-552611.1627443009,1135.0975328255188,3.4759528636932373,719752.3125,20859.6796875,762.451171875,931.8846435546875,flying
108.53999998262589,36439.63755569374,97554.38107026729,-549803.8509984463,1162.3818166159915,3.5155065059661865,719786.5,20643.73828125,743.0166015625,908.1312255859375,flying
109.53999998246582,37362.28178036481,101769.58877030993,-546800.8044528182,1190.0463169506374,3.555588722229004,719816.125,20427.798828125,723.5819702148438,884.3778686523438,flying
110.55999998230254,38320.56224008417,106246.06044886995,-543515.2937356406,1218.642420069681,3.5969831943511963,719841.875,20207.541015625,703.7587280273438,860.1494140625,flying
111.57999998213927,39295.90263016289,110902.50908952684,-539983.0494064564,1247.602866304229,3.6388494968414307,719863.875,19987.28125,683.9354248046875,835.9209594726562,flying
112.5799999819792,40268.31601562863,115644.29787230573,-536258.2928524065,1276.332935279365,3.6806700229644775,719882.375,19771.341796875,664.5008544921875,812.1675415039062,flying
113.59999998181593,41276.24241132592,120661.27402220364,-532166.7566377423,1305.9607039116363,3.7242000102996826,719898.875,19551.08203125,644.6775512695312,787.9390869140625,flying
114.61999998165265,42299.82879667508,125857.62400673213,-527751.6840817914,1335.8854946325944,3.7685413360595703,719913.5625,19330.82421875,624.854248046875,763.7106323242188,flying
115.61999998149258,43317.888274813886,131121.03111764637,-523079.04825576826,1365.4779404642027,3.813117504119873,719926.5,19114.884765625,605.419677734375,739.957275390625,flying
116.63999998132931,44370.327776430524,136648.05501252273,-517925.783868611,1395.8683781536868,3.8596370220184326,719938.0,18894.625,585.596435546875,715.7288208007812,flying
117.65999998116604,45435.90530209069,142308.94938681286,-512339.6637375485,1426.3871969562056,3.907202959060669,719947.875,18674.3671875,565.7731323242188,691.5003662109375,flying
118.65999998100597,46491.49946459383,147031.8029071996,-507404.70240857184,1450.4595615049525,2.57207989692688,382119.875,18493.548828125,549.4994506835938,671.6102905273438,flying
119.6599999808459,47550.34040027985,148922.65344667574,-505481.8028129741,1456.0141429554405,0.867145299911499,127990.8984375,18424.39453125,543.2756958007812,664.0034790039062,flying
120.65999998068582,48606.551818907494,149608.48598319,-504868.99032079807,1453.9231551516086,0.2897087633609772,44113.8046875,18401.14453125,541.1830444335938,661.44580078125,flying
121.67999998052255,49679.01149326831,149956.34983075561,-504594.0536734627,1449.6916611944234,0.19133523106575012,35998.72265625,18389.921875,540.1731567382812,660.2114868164062,flying
123.1397607226827,51224.47153930529,150008.60090910876,-504552.43058194173,1441.115863885723,0.0092298723757267,0.0,18387.7890625,539.9810791015625,659.9766845703125,flying
125.13976072272635,53292.910486119334,150292.12234155205,-504364.1885757542,1430.7197878217578,0.004239019472151995,0.0,18379.150390625,539.2036743164062,659.0265502929688,flying
127.09976072276913,55297.098434099695,150281.12358127208,-504370.9464497143,1419.1386131403112,0.003106924705207348,0.0,18379.150390625,539.2036743164062,659.0265502929688,flying
129.13976072281366,57358.15509732289,150272.95003404503,-504375.9809737901,1407.2206462300544,0.0024161965120583773,0.0,18379.150390625,539.2036743164062,659.0265502929688,flying
131.1797607228582,59393.926727772574,150266.9400927698,-504379.6811326587,1395.4343502615043,0.0019672613125294447,0.0,18379.150390625,539.2036743164062,659.0265502929688,flying
133.17976072290185,61365.37152126501,150262.4549966394,-504382.42963082413,1384.0024660955592,0.0016654072096571326,0.0,18379.150390625,539.2036743164062,659.0265502929688,flying
135.21976072294638,63351.480465446366,150258.98265155463,-504384.52595069644,1372.465075349155,0.0014246113132685423,0.0,18379.150390625,539.2036743164062,659.0265502929688,flying
137.21976072299003,65274.49294828973,150256.55026940396,-504385.93058681977,1361.273239564612,0.0012126279762014747,0.0,18379.150390625,539.2036743164062,659.0265502929688,flying
139.25976072303456,67211.45626035589,150254.99123497854,-504386.71676373127,1349.9781337251488,0.001040667644701898,0.0,18379.150390625,539.2036743164062,659.0265502929688,flying
141.25976072307822,69086.53127663385,150254.1242299975,-504387.0067630379,1339.0205906648055,0.000942156242672354,0.0,18379.150390625,539.2036743164062,659.0265502929688,flying
143.16454587935732,70838.27431017533,150240.49546271423,-504387.78243351536,1328.7097874603774,0.0035726455971598625,0.0,18379.150390625,539.2036743164062,659.0265502929688,sub_orbital
144.2136181448659,71794.6533556527,150231.14752371435,-504388.3027491864,1323.0622403810248,0.00044694344978779554,0.0,18379.150390625,539.2036743164062,659.0265502929688,sub_orbital
145.23361814470263,72724.34890027589,150231.14753088832,-504388.3027594142,1317.6000380416112,0.00044243934098631144,0.0,18379.150390625,539.2036743164062,659.0265502929688,sub_orbital
146.23361814454256,73629.92048302642,150231.1475479151,-504388.302773077,1312.2724573054752,0.0004380882019177079,0.0,18379.150390625,539.2036743164062,659.0265502929688,sub_orbital
147.2336181443825,74529.66892105283,150231.1475484647,-504388.30277129594,1306.972038839821,0.00043376904795877635,0.0,18379.150390625,539.2036743164062,659.0265502929688,sub_orbital
148.25361814421922,75441.42672059778,150231.1475492299,-504388.30276795547,1301.5935102316732,0.00042942154686897993,0.0,18379.150390625,539.2036743164062,659.0265502929688,sub_orbital
